num_nodes,runtime_ms,num_ants,ratio_elites,decay
10,6.350517272949219,10,0.2,0.2
101,58.87198448181152,10,0.2,0.2
25,2.718210220336914,10,0.2,0.2
126,58.47334861755371,10,0.2,0.2
171,89.62869644165039,10,0.2,0.2
174,93.85943412780762,10,0.2,0.2
200,132.6127052307129,10,0.2,0.2
226,148.06199073791504,10,0.2,0.2
243,162.50252723693848,10,0.2,0.2
50,9.761571884155273,10,0.2,0.2
76,26.986122131347656,10,0.2,0.2
